time,pair,direction,entry,sl,tp,risk_pct,volume,risk_amt,result,exit_price,exit_time,bars_held,pnl,balance,reason,score,_bar_idx
2025-04-23 12:00:00,XAU/USD,BUY,3401.96,3284.11,3485.416648,2.0,0.01,208.01,loss,3284.11,2025-04-23 12:00:00,5,-208.01,10192.34,Полный сетап (3/4): D1=Y | H4=Y | COT=Y | Trend=?,3,474
2025-04-25 12:00:00,XAU/USD,BUY,3357.45,3284.11,3457.708812,1.0,0.01,101.92,loss,3284.11,2025-04-25 12:00:00,9,-101.92,10090.42,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,486
2025-04-29 04:00:00,XAU/USD,BUY,3344.31,3306.91,3412.136177,1.0,0.01,100.9,loss,3306.91,2025-04-29 04:00:00,2,-100.9,9989.52,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,496
2025-04-30 08:00:00,XAU/USD,BUY,3281.07,3211.72,3357.289461,2.0,0.01,201.81,be,3281.07,2025-04-30 08:00:00,14,0.0,9989.52,Полный сетап (3/4): D1=Y | H4=Y | COT=Y | Trend=?,3,503
2025-04-30 08:00:00,XAU/USD,BUY,3310.48,3284.11,3374.374435,1.0,0.01,99.9,loss,3284.11,2025-04-30 08:00:00,7,-99.9,9889.62,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,503
2025-05-05 08:00:00,XAU/USD,BUY,3231.48,3202.04,3289.37733,1.0,0.01,98.9,win,3289.37733,2025-05-05 08:00:00,4,194.5,10084.12,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,521
2025-05-05 08:00:00,XAU/USD,BUY,3259.8,3222.87,3313.500539,1.0,0.01,98.9,be,3259.8,2025-05-05 08:00:00,1,0.0,10084.12,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,521
2025-05-06 00:00:00,XAU/USD,BUY,3333.86,3306.91,3387.690891,1.0,0.01,100.84,be,3333.86,2025-05-06 00:00:00,1,0.0,10084.12,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,525
2025-05-08 16:00:00,XAU/USD,BUY,3391.92,3306.91,3451.903736,1.0,0.01,100.84,loss,3306.91,2025-05-08 16:00:00,13,-100.84,9983.28,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,541
2025-05-28 20:00:00,XAU/USD,BUY,3296.84,3279.42,3314.26,1.0,0.02,99.83,loss,3279.42,2025-05-28 20:00:00,1,-99.83,9883.45,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,626
2025-05-29 12:00:00,XAU/USD,BUY,3282.26,3245.59,3318.93,1.0,0.01,98.83,be,3282.26,2025-05-29 12:00:00,1,0.0,9883.45,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,630
2025-05-30 04:00:00,XAU/USD,BUY,3310.02,3291.81,3328.23,1.0,0.02,98.83,loss,3291.81,2025-05-30 04:00:00,1,-98.83,9784.62,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,634
